secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
10.56,5.43365,13.218,5.31097,12.9448,0,-294.44,0,1661,1564,1.18172,,,,,
10.592,5.45022,13.2512,5.32631,12.9786,0,-294.56,0,1661,1567,1.2605,,,,,
10.622,5.46619,13.2847,5.33968,13.0077,0,-294.88,0,1661,1571,1.17046,,,,,
10.65,5.48127,13.3131,5.35623,13.0435,0,-294.94,0,1661,1577,1.2605,,,,,
10.682,5.49815,13.3487,5.37492,13.0835,0,-295.31,0,1660,1586,1.13445,,,,,
10.722,5.5188,13.3878,5.39366,13.1231,0,-295.56,0,1661,1608,1.19416,,,,,
10.76,5.53886,13.4267,5.40827,13.1536,0,-295.88,0,1661,1616,1.10294,,,,,
10.792,5.55517,13.4564,5.423,13.1839,0,-296.19,0,1661,1615,1.17647,,,,,
10.822,5.57153,13.4859,5.43788,13.2142,0,-296.62,0,1661,1617,1.2605,,,,,
10.85,5.58868,13.515,5.45405,13.2464,0,-297.0,0,1661,1622,1.18172,,,,,
10.882,5.60684,13.5462,5.46825,13.2741,0,-297.38,0,1661,1629,1.17046,,,,,
10.91,5.62302,13.5729,5.48579,13.3079,0,-297.81,0,1659,1643,1.2605,,,,,
10.942,5.6428,13.6056,5.50021,13.3351,0,-298.31,0,1660,1647,1.09243,,,,,
10.972,5.65982,13.6314,5.51943,13.3704,0,-299.12,0,1659,1644,1.12782,,,,,
11.01,5.68321,13.6644,5.53563,13.3994,0,-299.81,0,1659,1645,1.10294,,,,,
11.042,5.70294,13.6914,5.55222,13.4281,0,-300.44,0,1659,1643,1.17647,,,,,
11.072,5.72272,13.7183,5.56909,13.4567,0,-301.06,0,1659,1641,1.2605,,,,,
11.1,5.74273,13.745,5.58638,13.4851,0,-301.88,0,1659,1639,1.10294,,,,,
11.132,5.76412,13.7709,5.60401,13.5133,0,-302.56,0,1659,1640,1.2605,,,,,
11.16,5.78513,13.797,5.62325,13.5432,0,-303.31,0,1659,1645,1.18172,,,,,
11.192,5.80807,13.8245,5.6415,13.5707,0,-304.12,0,1660,1656,1.17647,,,,,
11.222,5.83028,13.8494,5.65852,13.5957,0,-304.81,0,1659,1692,1.17046,,,,,
11.25,5.85064,13.8721,5.68086,13.6271,0,-306.25,0,1659,1735,1.0204,,,,,
11.292,5.87987,13.8985,5.69915,13.6519,0,-307.06,0,1643,1767,1.17647,,,,,
11.322,5.90198,13.9204,5.72118,13.6806,0,-308.69,0,1631,1779,1.12782,,,,,
11.36,5.93156,13.9433,5.73989,13.7037,0,-310.06,0,1631,1774,1.10294,,,,,
11.392,5.95649,13.9613,5.76384,13.7311,0,-312.5,0,1639,1768,1.07142,,,,,
11.432,5.99121,13.9793,5.78913,13.7579,0,-314.62,0,1641,1762,1.07142,,,,,
11.472,6.02552,13.9975,5.814,13.7825,0,-316.5,0,1639,1759,1.06147,,,,,
11.51,6.05813,14.0142,5.8397,13.8064,0,-318.5,0,1641,1761,1.0084,,,,,
11.55,6.09176,14.0294,5.86616,13.8291,0,-320.56,0,1640,1762,0.960381,,,,,
11.592,6.12608,14.0429,5.89349,13.8509,0,-322.75,0,1641,1760,1.0084,,,,,
11.632,6.16138,14.0546,5.92182,13.8717,0,-325.0,0,1640,1742,1.0084,,,,,
11.672,6.19751,14.0648,5.95125,13.8918,0,-327.06,0,1641,1738,1.06147,,,,,
11.71,6.2337,14.0748,5.98144,13.9108,0,-328.75,0,1641,1735,1.0084,,,,,
11.75,6.26916,14.0854,6.01231,13.9289,0,-330.44,0,1640,1728,0.960381,,,,,
11.792,6.30505,14.095,6.0438,13.9462,0,-332.38,0,1641,1730,1.0084,,,,,
11.832,6.34199,14.1022,6.07379,13.9613,0,-334.12,0,1641,1735,0.945375,,,,,
11.872,6.37659,14.1082,6.10009,13.9736,0,-336.12,0,1641,1735,0.862447,,,,,
11.91,6.40783,14.1099,6.13096,13.9869,0,-337.81,0,1642,1729,0.945375,,,,,
11.95,6.44258,14.114,6.16239,13.999,0,-339.81,0,1641,1727,0.900357,,,,,
11.992,6.47826,14.1152,6.19634,14.0109,0,-341.56,0,1643,1729,1.0084,,,,,
12.032,6.51561,14.1173,6.22627,14.0204,0,-343.5,0,1655,1731,0.88235,,,,,
12.072,6.54896,14.116,6.25647,14.029,0,-345.25,0,1655,1731,0.928789,,,,,
12.11,6.58193,14.1147,6.29131,14.0377,0,-346.94,0,1655,1728,1.0084,,,,,
12.15,6.61915,14.1137,6.32651,14.0452,0,-348.88,0,1651,1724,0.960381,,,,,
